科修达有限公司,万科企业股份有限公司
北京顺鑫控股集团有限公司,北京顺鑫农业股份有限公司
北京顺鑫控股集团有限公司,北京顺鑫农业股份有限公司
北京顺鑫控股集团有限公司,北京顺鑫农业股份有限公司
云南铜业（集团）有限公司,云南铜业股份有限公司
北京华联商厦股份有限公司,深圳池杉常青股权投资中心（有限合伙）
北京华联商厦股份有限公司,上海镕尚和中信夹层
北京华联商厦股份有限公司,华联综超
湖北能源集团股份有限公司,湖北省能源集团有限公司
江苏法尔胜股份有限公司,法尔胜阜宁金属制品有限公司
江苏法尔胜股份有限公司,江苏法尔胜精细钢绳有限公司
广州植之元控股有限公司,广州东凌国际投资股份有限公司
攀钢集团西昌钢钒有限公司,鞍钢股份有限公司
江西赣能股份有限公司,江西省投资集团公司
江西赣能股份有限公司,江西省投资集团公司
江西赣能股份有限公司,江西省投资集团公司
厦门港务发展股份有限公司,厦门港务控股集团有限公司
大亚科技集团有限公司,大亚圣象家居股份有限公司
四川泸天化股份有限公司,四川泸天化中蓝新材料有限公司
浙江钱江摩托股份有限公司,钱江集团有限公司
湖南电广传媒股份有限公司,深圳市达晨财智创业投资管理有限公司
湖南电广传媒股份有限公司,深圳市达晨创业投资有限公司
浙江国大集团有限责任公司,嘉凯城集团股份有限公司
南方汇通股份有限公司,蔡志奇
福星集团控股有限公司,湖北福星科技股份有限公司
中国第一汽车股份有限公司,天津一汽夏利汽车股份有限公司
湖南华菱钢铁股份有限公司,湖南华菱钢铁集团有限责任公司
河南神火煤电股份有限公司,河南神火集团有限公司
河南神火煤电股份有限公司,河南神火集团有限公司
河南神火煤电股份有限公司,河南神火集团有限公司
四川双马水泥股份有限公司,拉法基瑞安水泥有限公司
冀中能源集团有限责任公司,冀中能源股份有限公司
北京紫光京通科技有限公司,紫光股份有限公司
同方计算机有限公司,紫光股份有限公司
重庆建峰化工股份有限公司,建峰（开曼）有限公司
重庆建峰工业集团有限公司,重庆建峰化工股份有限公司
郭芳,中国重汽
于有德,中国重汽集团济南卡车股份有限公司
湖北广济药业股份有限公司,湖北华科投资有限公司
湖北省长江产业投资集团有限公司,湖北广济药业股份有限公司
国家电投集团石家庄东方能源股份有限公司,石家庄东方热电集团有限公司
北京首钢基金有限公司,北京首钢股份有限公司
江苏中南建设集团股份有限公司,中南控股集团有限公司
华东医药股份有限公司,杭州中美华东制药有限公司
中国远大集团有限责任公司,华东医药股份有限公司
